FAMILY,[ФЭМИЛИ],СЕМЬЯ
PARENT,[ПЭРЭНТ],РОДИТЕЛЬ
MOTHER,[МАЗЭ],МАМА
FATHER,[ФАЗЭ],ПАПА
SON,[САН],СЫН
DAUGHTER,[ДОУТЭр],ДОЧЬ
BROTHER,[БРАЗЭр],БРАТ
SISTER,[СИСТЭр],СЕСТРА
HUSBAND,[ХАСБЭНД],МУЖ
WIFE,[УАЙФ],ЖЕНА
GRANDPARENT,[ГРАНДПЭРЭНТ],БАБУШКА/ДЕДУШКА
GRANDMOTHER,[ГРАНДМАЗЭ],БАБУШКА
GRANDFATHER,[ГРАНДФАЗЭ],ДЕДУШКА
GRANDSON,[ГРАНДСАН],ВНУК
GRANDDAUGHTER,[ГРАНДДОУТЭр],ВНУЧКА
UNCLE,[АНКЛ],ДЯДЯ
AUNT,[А:НТ],ТЁТЯ
COUSIN,[КАЗЭН],КУЗЕН
CHILD,[ЧАЙЛД],РЕБЁНОК
CHILDREN,[ЧИЛДРЭН],ДЕТИ
MAN,[МЭН],МУЖЧИНА
MEN,[МЭН],МУЖЧИНЫ
WOMAN,[УОМЭН],ЖЕНЩИНА
WOMEN,[УОМЭН],ЖЕНЩИНЫ
GRANDCHILDREN,[ГРАНДЧИЛДРЭН],ВНУКИ
BOY,[БОЙ],МАЛЬЧИК
GIRL,[ГЁ:Л],ДЕВОЧКА
BOYFRIEND,[БОЙФРЭНД],ПАРЕНЬ
GIRLFRIEND,[ГЁ:ЛФРЭНД],ДЕВУШКА
FRIEND,[ФРЭНД],ДРУГ
