BIG,[БИГ],БОЛЬШОЙ
SMALL,[СМО:Л],МЕЛКИЙ
TALL,[ТО:Л],ВЫСОКИЙ
SHORT,[ШО:рТ],КОРОТКИЙ
FAST,[ФА:СТ],БЫСТРЫЙ
SLOW,[СЛОУ],МЕДЛЕНЫЙ
YOUNG,[ЯН],МОЛОДОЙ
OLD,[ОЛД],СТАРЫЙ
STRONG,[СТРОН],СИЛЬНЫЙ
WEAK,[УИК],СЛАБЫЙ
ANGRY,[ЭНГРИ],ЗЛОЙ
SAD,[СЭД],ГРУСТНЫЙ
HAPPY,[ХЭПИ],СЧАСТЛИВЫЙ
GOOD,[ГУ:Д],ДОБРЫЙ
BAD,[БЭД],ПЛОХОЙ
CLEVER,[КЛЭВЭ],УМНЫЙ
STUPID,[СТЬЮПИД],ГЛУПЫЙ
UGLY,[АГЛИ],УРОДЛИВЫЙ
PRETTY,[ПРИТИ],КРАСИВАЯ
HANDSOME,[ХЭНДСОМ],КРАСИВЫЙ
NICE,[НАЙС],ХОРОШИЙ
RICH,[РИЧ],ДОРОГОЙ
POOR,[ПО:р],БЕДНЫЙ
CUTE,[КЬЮТ],МИЛЫЙ
TIRED,[ТАЭД],УСТАЛЫЙ
INTERESTING,[ИНТЭРЭСТИН],ИНТЕРЕСНЫЙ
BORING,[БО:рИН],НЕ ИНТЕРЕСНЫЙ
VERY,[ВЕРИ],ОЧЕНЬ
